,,,,,,,,,,,,,,
Plant ,Plant Name,Route Details,Outlet 1,Outlet 2,Outlet 3,Outlet 4,Outlet 5,Outlet 6,Outlet 7,Outlet 8,Outlet 9,Outlet 10,Outlet 11,Outlet 12
1742,Karur,Route 1,"11.414938, 76.708863","11.290852, 76.941112","11.232967, 77.105771","11.413334, 76.698096","11.347139, 76.794726",,,,,,,
1742,Karur,Route 2,"11.061178, 76.997919","11.098566, 76.938574","11.169933, 76.952016",,"11.083197, 77.005930","11.028708, 76.896353","11.035959, 76.919172","11.055628, 77.014980","11.103266, 76.938083",,,
1742,Karur,Route 3,"11.025740, 76.936965",,"11.004207, 76.950774","11.006242, 77.026262","10.995148, 76.996422","11.009623, 77.078588","11.023087, 76.965717","11.023073, 76.946310",,,,
1742,Karur,Route 4,"11.024617, 77.006406","11.009424, 76.959177","10.666706, 77.006156","10.736662, 77.521184",,"10.942900, 76.934177","10.665346, 77.016790","10.905891, 77.003454","10.579235, 77.247480","10.656924, 77.012323","10.959522, 76.954298","10.967516 , 76.978485"
,,,,,,,,,,,,,,
,KARUR LAT & LONG,,,,,,,,,,,,,
,"11.027767, 77.932015",,,,,,,,,,,,,
